Date,Check #,Description,Amount
03/04/2021,7777,Transaction 26,"$453.43"
03/05/2021,,Transaction 27,"$1,253.25"
03/06/2021,8345,Transaction 28,"-$4,303.97"
03/07/2021,,Transaction 29,"$46.78"
03/08/2021,,Transaction 30,"$816.87"
03/11/2021,1934,Transaction 31,"-$1,002.53"
03/12/2021,7307,Transaction 32,"$532.22"
03/13/2021,1352,Transaction 33,"-$704.59"
03/14/2021,,Transaction 34,"$98.04"
03/15/2021,,Transaction 35,"-$204.56"
03/25/2021,,Transaction 36,"$1,056.27"
03/26/2021,,Transaction 37,"$550.10"
03/27/2021,,Transaction 38,"-$825.77"
03/28/2021,4250,Transaction 39,"$212.68"
03/29/2021,,Transaction 40,"$195.68"
04/02/2021,9915,Transaction 41,"-$463.75"
04/03/2021,,Transaction 42,"$78.04"
04/04/2021,8412,Transaction 43,"$268.81"
04/05/2021,,Transaction 44,"$1,360.55"
04/08/2021,3212,Transaction 45,"-$994.46"
04/09/2021,9125,Transaction 46,"$467.39"
04/10/2021,,Transaction 47,"$39.49"
04/11/2021,7929,Transaction 48,"-$81.87"
04/12/2021,,Transaction 49,"$255.64"
04/12/2021,,Transaction 50,"$13.51"
